# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates
10000	2.4724496307655532	0.2796648143801975	3.8468425763970746	0.13529456815953922	0.4183779661515055	2.069640958429329	2.321707179704147	1.0253363005339478	0.18671700421773718	1.0656162010059795	0.527287324231408	0.10192032840935128	0.1405431636404153	0.15906699824372192	0.41936653320583994	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	8.0
11000	0.718798212519395	0.06860054183715382	2.792946420455701	0.07684753550466594	0.5994620980821829	2.6593100403321266	1.33916358129699	1.690326206434559	0.7481822606382599	0.1003578806950959	0.5037935718745681	0.6977440521336256	0.047573837143068336	0.01957546917002367	0.11146128378370908	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
12000	0.7507337135800263	0.5264031510938562	0.9757203184791597	0.051295428528655075	0.13130226202956666	1.5966692851133364	1.094216565041287	0.7871508452014264	0.47057494040054165	0.28988738478152976	0.3564871852372496	0.1538761032518012	0.269024450650555	0.020220738229626584	0.06849712455922823	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0
13000	0.37265403011570836	0.9537130310666946	1.3397445521097564	0.35412698956482597	0.25709197526395355	1.51947700208188	1.3744351675127062	2.730068045151865	0.6745397873336979	0.11511588273713427	0.364929216891935	0.8266142088667706	0.19019958494993233	0.028567345933647383	0.283126470014934	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0
14000	0.14013122063116418	0.7429459158957231	1.265700519898885	0.46437433865604744	1.1428083088604328	2.1917471575994028	0.8401855916043622	0.7223234263144689	0.3950763553851136	0.6737677951479144	1.2853942378199554	0.16354996105923114	0.3602273779482692	0.0988118186188942	0.5180232956319595	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
15000	0.23666940636605424	0.30722037829024423	2.7155283138508164	0.25344182337520194	2.615550626064082	1.7947667117716284	2.207037343230469	0.14753443450719314	0.8878058819807509	1.3914293083562614	1.2927320631788872	0.07360336244182297	0.5031260710595371	0.08568505499854752	0.9203711807012622	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
16000	0.6388289535705537	0.9723807108535782	2.126485096623934	0.07599600528865771	2.2893649750533926	1.0595225910059751	1.0346331643489846	0.29255290454292027	0.3577343150881049	2.0249665397476924	0.2674329023940888	0.09253867956601118	0.3852810937088299	0.11443886533400684	0.5081094506305089	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0
17000	0.22677164203088587	0.9730695799400525	0.8410604769261335	0.16174067320316649	1.1708209884555325	1.887302813441718	1.4385834311802612	0.6347570213358434	0.3918657664077698	2.0969933706810497	0.382618917368807	0.09460130512103018	0.52119745502494	0.3409577144310511	1.0500939323309069	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
18000	0.41250735899951313	0.9691364608609442	1.291629389848644	1.112050641952149	0.29671965332468625	1.0270612001316266	1.030728514081344	1.1226195805804071	0.11222028390818217	1.6926570939605803	0.24135200540417737	0.02863851204502554	0.990080903188157	2.3681187154027667	0.9767411842761858	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
19000	0.8941469329826425	0.7778295754058597	1.292771738394207	0.3755827950382072	0.5236606203642903	1.9473875372129388	0.7495023316043267	4.224796419683569	0.09589097427347676	1.035152157113611	0.20920057695090036	0.08774190207240362	0.9620397825072932	1.403043500023271	1.0945300610796405	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
20000	0.7942832557466997	1.1683933510054123	1.7978665974176589	0.5689712760532837	1.39338222129274	1.4123813176833084	0.8776051119206139	1.958351721073227	0.14829450773540645	5.429795754788894	0.2134723912248834	0.04028236262729082	1.2480921810896124	2.944634670567743	1.8974533677887488	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
21000	1.2260825023587754	0.5463593265948393	1.8157768363913893	1.2669953093764696	1.0004412204321669	1.3002164565254912	0.9093925075473881	2.446855220903878	0.8446812527992171	3.2754539757713186	0.5589886177859477	0.03297572506030161	1.3754887583046547	1.754908249628505	5.543728246767369	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
22000	0.9841774679171083	1.1367533041957005	1.0963417113463059	4.453982224433277	2.928251795029976	1.3681482173164223	0.6162251473496092	2.0099870178085544	0.26435994452359635	0.6350185821959091	0.1539104394668771	0.31086484475254683	1.1944272942174559	4.085817294300764	3.3730054133492975	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
23000	0.22134465525159897	1.2172285590829428	1.1450070202185947	0.7895862266479344	3.421456424773131	1.363606305077581	1.2149661922928936	1.3274772634436665	0.31133718411591804	1.7922934354124893	0.07022396331339702	0.43861269233450373	0.22892476372729284	4.551670799846447	1.3592352738860702	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
24000	2.026789322108588	6.80023788958555	2.897874387718515	0.1897772821102051	3.6403280354575074	2.940607618932266	2.5642159955179515	0.5081726682943877	0.6550061255024997	1.2661854150140313	0.11788313609948899	1.5491408991499391	0.04410606506247458	1.9889244430524828	0.5267936256979232	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	6.0
25000	3.967078819244767	1.306098840673417	1.5138709754461992	0.1417559121015607	2.5282647638736973	2.0298532278331054	1.7634557475929085	0.7863639325177902	0.11981921969007603	0.5697781383252605	0.1540456498470517	0.42811723341148694	0.054843400609627904	2.5395709989854236	0.9476622917410376	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0
26000	0.31387139108647766	0.1846614052855447	3.0091516290128424	0.16098658609273994	0.7122576598802823	2.2061434435274583	1.0387852825108388	2.615091734454656	0.1532184765097429	1.1175110025783843	0.514487177000478	0.22302077198875497	0.10227673415735958	1.0935874802353929	0.6484940077193245	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	8.0
