# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.clock.rate	country.clock.rate	default.meanRate	country.meanRate	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates	default.treeLikelihood	default.branchRates	country.branchRates	country.treeLikelihood	speciation
2263000	-100481.53130534313	146.8657509247996	-100628.39705626793	0.4693307174846737	7.1468011243753615	12.88474490862908	0.2427284746608193	2.206230085378147	0.3628968114075498	0.11272363826153935	2.9276567695432423	0.14776422074869516	0.28254580214723163	0.19795565284581645	0.2276552903408207	0.2918432546661307	0.8804555339722359	0.45367676425891884	1.0	1.0	1.0	1.0	0.793624573385786	0.2057131997519868	4.495825587922575	0.5893637824713023	4.6112376088515665	1.1605372019224558	0.853800647352783	1.8557671159241453	0.3651425537334258	0.4734758067563628	0.2608425080788082	0.32092812870243037	0.4265931337342518	0.9972536329587204	0.24716099779406692	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	-100538.61086041413	0.0	0.0	-89.78619585379175	176.299915467843
2264000	-100478.0090474173	151.82914037384168	-100629.83818779115	0.47402662169696197	7.083501459962536	14.402436009938343	0.27584986937775435	2.206230085378147	0.3628968114075498	0.11272363826153935	2.8840498731670183	0.1582497224079841	0.28033871682903994	0.19851201013847378	0.2312687682713236	0.2898805047611621	0.8162200859338262	0.43184080658425117	1.0	1.0	1.0	1.0	0.04436770507145719	0.2679306527694544	2.2642322522943763	0.38327612668416156	2.6362903487511815	1.6033279970369807	0.8844762414312497	1.1236585731271007	0.35196566014662506	0.9096218790913838	0.6077248157600337	0.5895828759103736	2.1408234932140546	1.1812670314401281	0.45947521142749975	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	-100539.5384785845	0.0	0.0	-90.29970920665663	178.05704625790267
2265000	-100477.60352591705	148.43226557857918	-100626.03579149563	0.48928798331074147	7.2697084655975726	14.767756135848693	0.2669108701580312	2.213672619984819	0.3628968114075498	0.1142201028745906	2.8840498731670183	0.1582497224079841	0.28033871682903994	0.19851201013847378	0.2312687682713236	0.2898805047611621	0.8451928812988931	0.4269729555104905	1.0	1.0	1.0	1.0	0.1565895084552361	0.160642177737754	0.5050001940036842	0.2803376656295122	0.9237013476278163	1.1367120826294006	0.4675789124012148	0.9717101658151581	0.19107904888307	1.2320434966976477	0.29755860548802815	3.7539873663653913	2.4237862648133173	2.024466005791445	1.5105254124403886	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	-100538.00344648413	0.0	0.0	-88.03234501149647	175.34956548568704
2266000	-100476.65872890312	145.10207402929424	-100621.7608029324	0.5103056769951376	7.341481399558418	12.812727763402986	0.2669108701580312	2.213672619984819	0.3628968114075498	0.1142201028745906	2.8840498731670183	0.1582497224079841	0.28494188714257995	0.19448524003522455	0.22666559795778357	0.29390727486441137	0.8326282234210856	0.42720348139714726	1.0	1.0	1.0	1.0	0.7188321441613487	0.02230434026296101	1.4199452793220748	0.9613669192977744	1.7877814768220086	2.8249175370864275	0.9082117606169093	0.5078271319483152	0.18459443174917595	0.5905820968978808	0.5301697212455316	3.316869094297954	1.1610869667342696	0.7916535302265058	2.657883392335772	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-100535.41153419901	0.0	0.0	-86.34926873339747	173.73169595400023
2267000	-100456.1203224398	151.63172328236368	-100607.75204572217	0.48593618067235445	7.223783269975289	12.886887478682766	0.2669108701580312	2.1933082485535533	0.3628968114075498	0.1142201028745906	2.904414244598284	0.1582497224079841	0.2812815341376574	0.1981455930401471	0.23298390999396404	0.28758896282823093	0.856865628600327	0.4238644479847693	1.0	1.0	1.0	1.0	2.1633471436125893	0.01430114119267788	1.5342653646700974	0.4390630481066935	0.7229805716180615	2.0963928782749526	0.489927101972925	0.3136359132385637	0.20127155027220445	0.2213645419863322	0.5497984046798698	1.3461481023682682	1.1141134474290495	0.20830729129418674	1.5930222123046578	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	-100521.00538579728	0.0	0.0	-86.74665992488444	175.3100014175029
2268000	-100455.67329851478	152.98354322515436	-100608.65684173994	0.5015230007344684	7.157421584993296	14.389553954788282	0.2669108701580312	2.1933082485535533	0.3628968114075498	0.1142201028745906	2.904414244598284	0.1582497224079841	0.2830291392582373	0.1981455930401471	0.2285178767328495	0.29030739096876557	0.8409255661463766	0.441774480120313	1.0	1.0	1.0	1.0	0.6939493178605155	0.008767341145752136	1.2832149859965534	0.31017240581081507	0.3282999373443226	1.6351728750831915	0.7359227097442417	1.7550756855274878	0.02689152187054946	0.9883639743706574	0.21585102699985	2.70912438295891	1.3656734826161512	0.7338423334293714	0.7555704210162167	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-100521.553615037	0.0	0.0	-87.10322670293606	176.99066089636145
2269000	-100453.97978470569	152.95978319754013	-100606.93956790323	0.5002960607999011	7.129621441186992	13.378793579787105	0.2576522072661608	2.1961687879511484	0.35770168479406034	0.1142201028745906	2.9160074947060486	0.1582497224079841	0.28378420002623744	0.1981455930401471	0.2285178767328495	0.28955233020076543	0.8453862069620258	0.45626839456993556	1.0	1.0	1.0	1.0	2.8543001541617503	0.007563045837047006	0.7222045324171149	1.2444103726017535	0.20003722986390823	1.335655355972122	0.5204880818620441	0.652235879837945	0.03081900558940116	0.789308785897351	0.5609137777819301	0.37984432343189545	0.8678420503940376	1.732036672601264	1.3812043139100112	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	-100518.16730829582	0.0	0.0	-88.77225960741404	176.94970932980314
2270000	-100461.2012530668	149.43537524066426	-100610.63662830746	0.4923953253361574	7.012052663877298	14.026295820070185	0.2576522072661608	2.1961687879511484	0.35770168479406034	0.1142201028745906	2.9160074947060486	0.1582497224079841	0.28378420002623744	0.1981455930401471	0.2285178767328495	0.28955233020076543	0.827168689646794	0.4379118063045537	1.0	1.0	1.0	1.0	1.622849128448892	0.010209238949101666	1.2376627432264131	4.088019927654154	0.10912270701246184	1.3874324755086611	0.914572009896855	4.299937491936868	0.19356596058218623	0.83004762420241	0.4092093293634691	0.34122184690899643	0.34911799992329046	1.9949974972779443	1.3322368721514144	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-100524.58477251697	0.0	0.0	-86.05185579048243	178.9449283070518
2271000	-100456.96798447635	148.43090794199048	-100605.39889241834	0.5060957395092857	7.341733356987736	12.896975267722393	0.2576522072661608	2.1961687879511484	0.35770168479406034	0.1142201028745906	2.9323719497962224	0.14188526731781026	0.28378420002623744	0.1981455930401471	0.22917162455332332	0.2888985823802916	0.8264432414916139	0.44314993536400943	1.0	1.0	1.0	1.0	1.8270146456526415	0.031336286657901634	1.4921583373463325	1.5351710190178278	0.012872475692732253	1.6272126203278223	0.6353310093465048	3.5023513957651966	0.21870234140613953	1.5304774705934454	0.06327354574063528	0.065136366743446	0.5520965211244618	1.2323675434284052	0.7973762852686918	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-100517.86471291207	0.0	0.0	-87.53417950626886	173.79809136559697
2272000	-100453.5584504966	150.34765694808323	-100603.90610744468	0.4770059976013306	7.029764012577351	14.091096904562708	0.2576522072661608	2.1961687879511484	0.35770168479406034	0.1142201028745906	2.9323719497962224	0.14188526731781026	0.28378420002623744	0.1981455930401471	0.22917162455332332	0.2888985823802916	0.8522296147601064	0.44010597501044263	1.0	1.0	1.0	1.0	1.2519316487746133	0.02487123325319284	2.1778986836200755	2.0924284926683487	0.03539558542258385	3.0798893158177534	1.8222883928939217	1.986819643492331	0.1725626001993219	1.8339535514899574	0.31457028214537536	0.04123628186707951	0.3991305177566506	2.214719731691481	0.48214659054406034	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-100516.65780398595	0.0	0.0	-87.2483034587283	178.72494722057482
